Order ID,Amount,Profit,Quantity,Category,Sub-Category,Payment Mode,AOV
B-25646,299,-8,2,Clothing,Saree,COD,150
B-25696,116,-4,1,Clothing,Saree,COD,116
B-25696,168,-9,3,Clothing,Saree,COD,56
B-25778,109,-6,6,Clothing,Saree,COD,18
B-25678,64,-7,3,Clothing,Saree,COD,21
B-25761,102,-90,1,Clothing,Saree,COD,102
B-25609,249,-5,4,Clothing,Saree,COD,62
B-26054,88,20,2,Clothing,Saree,COD,44
B-25683,86,-55,6,Clothing,Saree,COD,14
B-26085,86,22,2,Clothing,Saree,COD,43
B-25869,86,9,3,Clothing,Saree,COD,29
B-25773,85,-9,4,Clothing,Saree,COD,21
B-25999,152,-3,5,Clothing,Saree,COD,30
B-25902,79,6,7,Clothing,Saree,COD,11
B-25679,76,-50,1,Clothing,Saree,COD,76
B-25954,891,0,5,Clothing,Saree,COD,178
B-25851,62,1,3,Clothing,Saree,COD,21
B-25656,61,-23,2,Clothing,Saree,COD,31
B-25740,58,-8,2,Clothing,Saree,COD,29
B-25861,128,4,3,Clothing,Saree,COD,43
B-25856,48,6,1,Clothing,Saree,COD,48
B-25801,64,6,4,Clothing,Saree,COD,16
B-25964,89,6,5,Clothing,Saree,COD,18
B-26002,141,7,7,Clothing,Saree,COD,20
B-25654,54,-3,3,Clothing,Saree,COD,18
B-26012,199,8,2,Clothing,Saree,COD,100
B-25751,43,-5,2,Clothing,Saree,COD,22
B-25899,43,17,1,Clothing,Saree,COD,43
B-26081,637,50,5,Clothing,Saree,COD,127
B-25898,499,33,4,Clothing,Saree,COD,125
B-26083,34,3,3,Clothing,Saree,COD,11
B-26015,128,55,1,Clothing,Saree,COD,128
B-25822,34,13,2,Clothing,Saree,COD,17
B-25909,168,56,3,Clothing,Saree,COD,56
B-25798,379,63,2,Clothing,Saree,COD,190
B-25702,31,-3,4,Clothing,Saree,COD,8
B-25767,29,-3,3,Clothing,Saree,COD,10
B-25619,353,90,8,Clothing,Saree,COD,44
B-25856,689,90,5,Clothing,Saree,COD,138
B-25814,462,169,4,Clothing,Saree,COD,116
B-26061,642,180,5,Clothing,Saree,COD,128
B-25890,465,207,9,Clothing,Saree,COD,52
B-25855,1027,441,8,Clothing,Saree,COD,128
B-25656,1389,680,7,Clothing,Saree,COD,198
B-25703,231,-190,9,Clothing,Hankerchief,COD,26
B-25714,11,-5,2,Clothing,Hankerchief,COD,6
B-25667,11,-2,4,Clothing,Hankerchief,COD,3
B-25735,12,-2,3,Clothing,Hankerchief,COD,4
B-25693,76,-72,9,Clothing,Hankerchief,COD,8
B-25656,24,-1,2,Clothing,Hankerchief,COD,12
B-25850,93,-1,2,Clothing,Hankerchief,COD,47
B-25821,17,0,1,Clothing,Hankerchief,COD,17
B-25603,12,1,2,Clothing,Hankerchief,COD,6
B-25850,24,1,4,Clothing,Hankerchief,COD,6
B-25852,24,1,2,Clothing,Hankerchief,COD,12
B-25996,31,2,2,Clothing,Hankerchief,COD,16
B-25656,6,3,1,Clothing,Hankerchief,COD,6
B-25940,13,3,2,Clothing,Hankerchief,COD,7
B-25881,37,3,3,Clothing,Hankerchief,COD,12
B-26016,202,4,4,Clothing,Hankerchief,COD,51
B-26067,53,2,4,Clothing,Hankerchief,COD,13
B-25973,398,111,8,Clothing,Hankerchief,COD,50
B-26064,61,3,4,Clothing,Hankerchief,COD,15
B-26089,27,4,1,Clothing,Hankerchief,COD,27
B-25751,32,7,3,Clothing,Hankerchief,COD,11
B-25608,257,23,5,Clothing,Hankerchief,COD,51
B-26026,255,76,9,Clothing,Hankerchief,COD,28
B-26054,246,98,5,Clothing,Hankerchief,COD,49
B-26056,15,6,2,Clothing,Hankerchief,COD,8
B-25809,154,54,3,Clothing,Hankerchief,COD,51
B-25771,148,59,3,Clothing,Hankerchief,COD,49
B-25818,28,14,4,Clothing,Hankerchief,COD,7
B-26003,128,47,4,Clothing,Hankerchief,COD,32
B-26073,122,11,4,Clothing,Hankerchief,COD,31
B-25855,90,17,3,Clothing,Hankerchief,COD,30
B-25896,103,36,2,Clothing,Hankerchief,COD,52
B-25711,100,-58,4,Clothing,Hankerchief,COD,25
B-25838,81,19,7,Clothing,Hankerchief,COD,12
B-25854,76,19,3,Clothing,Hankerchief,COD,25
B-25838,70,26,5,Clothing,Hankerchief,COD,14
B-25751,65,-4,6,Clothing,Hankerchief,COD,11
B-25861,62,6,5,Clothing,Hankerchief,COD,12
B-25798,61,-50,4,Clothing,Hankerchief,COD,15
B-25781,60,-49,8,Clothing,Hankerchief,COD,8
B-25956,59,10,2,Clothing,Hankerchief,COD,30
B-25930,58,17,2,Clothing,Hankerchief,COD,29
B-25743,56,0,4,Clothing,Hankerchief,COD,14
B-25935,150,32,3,Clothing,Hankerchief,COD,50
B-25947,290,35,6,Clothing,Hankerchief,COD,48
B-25638,154,39,3,Clothing,Hankerchief,COD,51
B-26099,207,37,4,Clothing,Hankerchief,COD,52
B-26093,49,5,4,Clothing,Hankerchief,COD,12
B-25997,48,15,1,Clothing,Hankerchief,COD,48
B-26050,284,44,6,Clothing,Hankerchief,COD,47
B-26087,46,13,3,Clothing,Hankerchief,COD,15
B-25852,45,12,4,Clothing,Hankerchief,COD,11
B-25953,44,2,3,Clothing,Hankerchief,COD,15
B-25952,44,14,3,Clothing,Hankerchief,COD,15
B-25999,222,74,5,Clothing,Hankerchief,COD,44
B-25843,255,74,5,Clothing,Hankerchief,COD,51
B-25616,42,12,5,Clothing,Hankerchief,COD,8
B-25830,41,11,6,Clothing,Hankerchief,COD,7
B-25854,40,16,3,Clothing,Hankerchief,COD,13
B-25833,36,4,9,Clothing,Hankerchief,COD,4
B-25956,33,10,3,Clothing,Hankerchief,COD,11
B-25897,33,10,3,Clothing,Hankerchief,COD,11
B-26056,33,9,2,Clothing,Hankerchief,COD,17
B-25701,33,-12,5,Clothing,Hankerchief,COD,7
B-26046,32,3,8,Clothing,Hankerchief,COD,4
B-26056,31,9,2,Clothing,Hankerchief,COD,16
B-25907,30,11,5,Clothing,Hankerchief,COD,6
B-26058,212,97,7,Clothing,Hankerchief,COD,30
B-25753,27,-20,2,Clothing,Hankerchief,COD,14
B-25864,27,9,2,Clothing,Hankerchief,COD,14
B-25698,27,-6,4,Clothing,Hankerchief,COD,7
B-25783,26,2,2,Clothing,Hankerchief,COD,13
B-25943,26,7,4,Clothing,Hankerchief,COD,7
B-25624,26,12,3,Clothing,Hankerchief,COD,9
B-25884,24,2,4,Clothing,Hankerchief,COD,6
B-25949,24,11,3,Clothing,Hankerchief,COD,8
B-25733,23,-6,4,Clothing,Hankerchief,COD,6
B-25616,22,-2,3,Clothing,Hankerchief,COD,7
B-25858,22,8,3,Clothing,Hankerchief,COD,7
B-25793,18,1,3,Clothing,Hankerchief,COD,6
B-26010,18,2,3,Clothing,Hankerchief,COD,6
B-25997,16,6,3,Clothing,Hankerchief,COD,5
B-25848,16,8,2,Clothing,Hankerchief,COD,8
B-25670,14,2,1,Clothing,Hankerchief,COD,14
B-25757,14,5,1,Clothing,Hankerchief,COD,14
B-25656,13,-1,3,Clothing,Hankerchief,COD,4
B-26001,13,0,2,Clothing,Hankerchief,COD,7
B-25979,12,1,2,Clothing,Hankerchief,COD,6
B-25851,10,2,2,Clothing,Hankerchief,COD,5
B-25652,9,-6,2,Clothing,Hankerchief,COD,5
B-25752,8,-2,2,Clothing,Hankerchief,COD,4
B-25655,7,-4,3,Clothing,Hankerchief,COD,2
B-25873,7,1,1,Clothing,Hankerchief,COD,7
B-25700,7,-3,2,Clothing,Hankerchief,COD,4
B-25698,7,-2,1,Clothing,Hankerchief,COD,7
B-25816,391,113,8,Clothing,Stole,COD,49
B-25957,147,73,3,Clothing,Stole,COD,49
B-26062,44,-40,3,Clothing,Stole,COD,15
B-26087,180,0,8,Clothing,Stole,COD,23
B-25837,263,50,5,Clothing,Stole,COD,53
B-26053,85,2,6,Clothing,Stole,COD,14
B-25603,107,36,6,Clothing,Stole,COD,18
B-25987,299,0,6,Clothing,Stole,COD,50
B-25977,74,29,3,Clothing,Stole,COD,25
B-25752,76,27,5,Clothing,Stole,COD,15
B-26030,50,25,5,Clothing,Stole,COD,10
B-25850,148,24,3,Clothing,Stole,COD,49
B-26055,227,48,5,Clothing,Stole,COD,45
B-26051,216,50,4,Clothing,Stole,COD,54
B-25757,211,19,8,Clothing,Stole,COD,26
B-25863,189,87,7,Clothing,Stole,COD,27
B-25757,165,30,3,Clothing,Stole,COD,55
B-26053,162,55,3,Clothing,Stole,COD,54
B-25838,161,40,3,Clothing,Stole,COD,54
B-26054,156,23,3,Clothing,Stole,COD,52
B-26094,152,50,6,Clothing,Stole,COD,25
B-25854,149,48,6,Clothing,Stole,COD,25
B-26038,52,14,2,Clothing,Stole,COD,26
B-25873,66,12,3,Clothing,Stole,COD,22
B-26065,146,19,5,Clothing,Stole,COD,29
B-25765,139,14,3,Clothing,Stole,COD,46
B-25845,132,54,5,Clothing,Stole,COD,26
B-25719,29,10,2,Clothing,Stole,COD,15
B-25882,121,19,4,Clothing,Stole,COD,30
B-25951,120,23,5,Clothing,Stole,COD,24
B-26040,38,9,2,Clothing,Stole,COD,19
B-25603,116,16,4,Clothing,Stole,COD,29
B-25993,44,8,2,Clothing,Stole,COD,22
B-25825,115,25,6,Clothing,Stole,COD,19
B-25970,111,9,4,Clothing,Stole,COD,28
B-25802,95,5,2,Clothing,Stole,COD,48
B-25864,100,6,4,Clothing,Stole,COD,25
B-25981,48,2,3,Clothing,Stole,COD,16
B-25810,92,42,2,Clothing,Stole,COD,46
B-26025,32,1,2,Clothing,Stole,COD,16
B-26005,87,10,3,Clothing,Stole,COD,29
B-25906,78,27,3,Clothing,Stole,COD,26
B-25670,74,29,3,Clothing,Stole,COD,25
B-25792,74,-25,3,Clothing,Stole,COD,25
B-25697,67,-42,3,Clothing,Stole,COD,22
B-25708,32,-8,2,Clothing,Stole,COD,16
B-25821,60,21,4,Clothing,Stole,COD,15
B-25706,31,-11,4,Clothing,Stole,COD,8
B-25938,59,25,3,Clothing,Stole,COD,20
B-25750,22,-12,3,Clothing,Stole,COD,7
B-25999,26,-17,1,Clothing,Stole,COD,26
B-25940,55,4,2,Clothing,Stole,COD,28
B-25627,55,-39,4,Clothing,Stole,COD,14
B-25950,54,27,2,Clothing,Stole,COD,27
B-26054,139,36,3,Clothing,Stole,COD,46
B-25757,53,15,2,Clothing,Stole,COD,27
B-25623,53,1,4,Clothing,Stole,COD,13
B-25922,52,18,2,Clothing,Stole,COD,26
B-25866,51,14,2,Clothing,Stole,COD,26
B-26062,50,-17,2,Clothing,Stole,COD,25
B-25775,50,-17,2,Clothing,Stole,COD,25
B-25722,48,-8,8,Clothing,Stole,COD,6
B-25996,47,1,2,Clothing,Stole,COD,24
B-25798,47,-3,2,Clothing,Stole,COD,24
B-25833,45,16,3,Clothing,Stole,COD,15
B-25985,44,11,4,Clothing,Stole,COD,11
B-25954,44,10,3,Clothing,Stole,COD,15
B-25801,49,-31,2,Clothing,Stole,COD,25
B-25897,43,5,3,Clothing,Stole,COD,14
B-26087,40,10,2,Clothing,Stole,COD,20
B-26085,40,17,2,Clothing,Stole,COD,20
B-25630,40,-7,3,Clothing,Stole,COD,13
B-25740,40,-37,3,Clothing,Stole,COD,13
B-26050,38,9,2,Clothing,Stole,COD,19
B-26078,137,63,3,Clothing,Stole,COD,46
B-26075,34,12,2,Clothing,Stole,COD,17
B-25753,77,-43,8,Clothing,Stole,COD,10
B-25933,81,-44,3,Clothing,Stole,COD,27
B-25733,30,-10,2,Clothing,Stole,COD,15
B-26010,29,3,2,Clothing,Stole,COD,15
B-25649,27,-25,2,Clothing,Stole,COD,14
B-25723,26,-24,1,Clothing,Stole,COD,26
B-26052,25,7,2,Clothing,Stole,COD,13
B-26008,22,4,1,Clothing,Stole,COD,22
B-25691,17,-9,3,Clothing,Stole,COD,6
B-25807,16,6,1,Clothing,Stole,COD,16
B-26062,13,-2,1,Clothing,Stole,COD,13
B-25989,10,5,1,Clothing,Stole,COD,10
B-25758,8,-2,1,Clothing,Stole,COD,8
B-25707,8,-6,1,Clothing,Stole,COD,8
B-25851,135,-54,5,Clothing,Kurti,COD,27
B-25845,82,-33,4,Clothing,Kurti,COD,21
B-25860,112,24,3,Clothing,Kurti,COD,37
B-25808,63,-17,6,Clothing,Leggings,COD,11
B-25607,50,-15,4,Clothing,Leggings,COD,13
B-25911,40,15,1,Clothing,Kurti,COD,40
B-25662,24,-2,2,Clothing,T-shirt,COD,12
B-26019,585,175,13,Clothing,T-shirt,COD,45
B-25803,536,91,1,Clothing,Trousers,COD,536
B-25681,523,204,7,Clothing,Trousers,COD,75
B-25873,42,12,2,Clothing,Kurti,COD,21
B-25858,29,11,4,Clothing,Skirt,COD,7
B-25633,496,-79,2,Clothing,Trousers,COD,248
B-25980,22,11,3,Clothing,Kurti,COD,7
B-25835,52,11,5,Clothing,Leggings,COD,10
B-25893,61,11,3,Clothing,Kurti,COD,20
B-25743,503,-56,2,Clothing,Trousers,COD,252
B-25630,34,-22,4,Clothing,T-shirt,COD,9
B-25727,327,114,4,Clothing,Trousers,COD,82
B-26050,325,32,7,Clothing,T-shirt,COD,46
B-25787,40,-12,3,Clothing,Shirt,COD,13
B-25896,287,-66,6,Clothing,Kurti,COD,48
B-26030,11,5,1,Clothing,Skirt,COD,11
B-26096,264,-26,3,Clothing,Trousers,COD,88
B-25673,45,-2,4,Clothing,Shirt,COD,11
B-25951,250,100,3,Clothing,Trousers,COD,83
B-26053,27,6,3,Clothing,Skirt,COD,9
B-25961,48,16,3,Clothing,Shirt,COD,16
B-26057,224,87,3,Clothing,Trousers,COD,75
B-25999,223,62,7,Clothing,Shirt,COD,32
B-25856,10,2,2,Clothing,Skirt,COD,5
B-26083,43,8,3,Clothing,Leggings,COD,14
B-26055,213,4,14,Clothing,Shirt,COD,15
B-26010,55,3,3,Clothing,T-shirt,COD,18
B-25872,57,27,2,Clothing,Shirt,COD,29
B-25991,188,13,7,Clothing,Shirt,COD,27
B-25737,187,-15,3,Clothing,Trousers,COD,62
B-25908,179,-25,5,Clothing,Kurti,COD,36
B-25651,7,0,1,Clothing,Leggings,COD,7
B-25954,27,0,2,Clothing,Leggings,COD,14
B-26002,71,19,3,Clothing,T-shirt,COD,24
B-25818,36,0,4,Clothing,Kurti,COD,9
B-25878,46,0,4,Clothing,Leggings,COD,12
B-25753,154,22,7,Clothing,T-shirt,COD,22
B-25764,26,0,2,Clothing,Kurti,COD,13
B-26003,79,16,3,Clothing,T-shirt,COD,26
B-25781,25,-1,4,Clothing,Kurti,COD,6
B-25803,137,5,5,Clothing,Shirt,COD,27
B-25874,124,54,5,Clothing,T-shirt,COD,25
B-25717,90,17,3,Clothing,Shirt,COD,30
B-25757,34,-11,5,Clothing,T-shirt,COD,7
B-25777,117,17,6,Clothing,Kurti,COD,20
B-26098,46,14,5,Clothing,Skirt,COD,9
B-25697,115,-39,3,Clothing,Trousers,COD,38
B-26089,139,14,3,Clothing,Kurti,COD,46
B-25652,34,-6,4,Clothing,Leggings,COD,9
B-25701,10,-8,2,Clothing,Skirt,COD,5
B-25852,105,-33,5,Clothing,Kurti,COD,21
B-25912,102,11,6,Clothing,T-shirt,COD,17
B-25656,101,18,9,Clothing,Skirt,COD,11
B-26052,101,16,4,Clothing,T-shirt,COD,25
B-25886,107,37,3,Clothing,Shirt,COD,36
B-25655,97,-62,2,Clothing,Trousers,COD,49
B-26033,111,35,5,Clothing,Shirt,COD,22
B-26055,94,27,2,Clothing,T-shirt,COD,47
B-25801,21,-10,4,Clothing,Leggings,COD,5
B-25851,90,29,5,Clothing,T-shirt,COD,18
B-25901,90,27,2,Clothing,T-shirt,COD,45
B-25956,89,-37,4,Clothing,Shirt,COD,22
B-25698,87,-83,5,Clothing,Kurti,COD,17
B-25606,87,4,2,Clothing,Shirt,COD,44
B-25952,87,-32,9,Clothing,Skirt,COD,10
B-25959,132,49,3,Clothing,Shirt,COD,44
B-25858,82,13,2,Clothing,Shirt,COD,41
B-25988,79,-124,9,Clothing,Skirt,COD,9
B-25676,79,36,4,Clothing,Shirt,COD,20
B-26100,72,16,2,Clothing,Shirt,COD,36
B-25830,71,0,8,Clothing,Skirt,COD,9
B-25886,63,1,4,Clothing,T-shirt,COD,16
B-25945,63,14,2,Clothing,Shirt,COD,32
B-25996,62,6,6,Clothing,Skirt,COD,10
B-25867,163,26,4,Clothing,Shirt,COD,41
B-26076,60,13,2,Clothing,T-shirt,COD,30
B-25652,24,-21,7,Clothing,Skirt,COD,3
B-26091,59,10,4,Clothing,Leggings,COD,15
B-25879,57,-28,2,Clothing,Kurti,COD,29
B-26008,57,24,5,Clothing,Leggings,COD,11
B-25851,57,27,2,Clothing,T-shirt,COD,29
B-26074,57,21,4,Clothing,Leggings,COD,14
B-26047,55,12,5,Clothing,Skirt,COD,11
B-26069,55,18,2,Clothing,Kurti,COD,28
B-26027,54,8,4,Clothing,T-shirt,COD,14
B-26080,109,35,6,Clothing,T-shirt,COD,18
B-26070,54,12,4,Clothing,Shirt,COD,14
B-25898,53,5,3,Clothing,T-shirt,COD,18
B-25843,50,7,6,Clothing,Skirt,COD,8
B-25651,49,3,1,Clothing,Shirt,COD,49
B-25793,63,-24,6,Clothing,Kurti,COD,11
B-25954,48,11,2,Clothing,Shirt,COD,24
B-25940,46,0,4,Clothing,Leggings,COD,12
B-25628,45,13,4,Clothing,Skirt,COD,11
B-25785,45,0,2,Clothing,T-shirt,COD,23
B-25810,45,6,3,Clothing,Shirt,COD,15
B-25685,45,-2,4,Clothing,Shirt,COD,11
B-26000,43,-10,4,Clothing,Skirt,COD,11
B-25630,114,-39,5,Clothing,Kurti,COD,23
B-25751,43,21,3,Clothing,Shirt,COD,14
B-25981,42,13,3,Clothing,Leggings,COD,14
B-25896,42,7,2,Clothing,Kurti,COD,21
B-25630,42,-26,2,Clothing,Kurti,COD,21
B-25930,40,13,3,Clothing,T-shirt,COD,13
B-25973,39,14,5,Clothing,Leggings,COD,8
B-25603,38,18,1,Clothing,Kurti,COD,38
B-25893,223,62,7,Clothing,Shirt,COD,32
B-25961,34,-10,3,Clothing,Skirt,COD,11
B-25753,62,-56,5,Clothing,Kurti,COD,12
B-25699,34,-13,5,Clothing,Leggings,COD,7
B-25687,51,21,3,Clothing,T-shirt,COD,17
B-25961,34,-12,5,Clothing,Leggings,COD,7
B-25910,33,1,2,Clothing,Shirt,COD,17
B-25676,32,6,3,Clothing,Shirt,COD,11
B-25889,31,10,1,Clothing,Kurti,COD,31
B-25900,140,68,5,Clothing,T-shirt,COD,28
B-25690,31,-10,3,Clothing,Skirt,COD,10
B-25781,30,-25,2,Clothing,T-shirt,COD,15
B-26038,30,6,1,Clothing,T-shirt,COD,30
B-25789,30,0,1,Clothing,Kurti,COD,30
B-25902,1700,85,3,Clothing,Trousers,COD,567
B-26013,29,-10,3,Clothing,Skirt,COD,10
B-25975,29,2,3,Clothing,Skirt,COD,10
B-25756,29,-24,4,Clothing,Leggings,COD,7
B-26044,28,-10,3,Clothing,Skirt,COD,9
B-25919,28,4,1,Clothing,T-shirt,COD,28
B-25899,28,6,4,Clothing,Skirt,COD,7
B-25858,27,5,2,Clothing,Skirt,COD,14
B-25762,27,4,3,Clothing,Skirt,COD,9
B-25881,26,9,2,Clothing,Leggings,COD,13
B-25802,23,-3,1,Clothing,Shirt,COD,23
B-25896,23,4,2,Clothing,Skirt,COD,12
B-25753,107,31,5,Clothing,T-shirt,COD,21
B-25864,22,8,2,Clothing,Leggings,COD,11
B-25703,22,-15,4,Clothing,Kurti,COD,6
B-25764,119,43,5,Clothing,T-shirt,COD,24
B-25781,767,-353,5,Clothing,Trousers,COD,153
B-25783,21,-17,3,Clothing,Shirt,COD,7
B-25800,21,-6,3,Clothing,Leggings,COD,7
B-26059,20,6,1,Clothing,T-shirt,COD,20
B-26056,19,-18,4,Clothing,Kurti,COD,5
B-26078,17,8,2,Clothing,Skirt,COD,9
B-25651,16,-10,2,Clothing,T-shirt,COD,8
B-26052,15,1,1,Clothing,Shirt,COD,15
B-25828,15,2,1,Clothing,Leggings,COD,15
B-25751,14,-3,2,Clothing,Leggings,COD,7
B-25687,14,-1,4,Clothing,Kurti,COD,4
B-25710,13,-8,1,Clothing,T-shirt,COD,13
B-25982,13,3,1,Clothing,Leggings,COD,13
B-25693,13,-13,2,Clothing,Skirt,COD,7
B-25802,13,-9,2,Clothing,Skirt,COD,7
B-25651,11,-4,2,Clothing,Skirt,COD,6
B-25603,1355,-60,5,Clothing,Trousers,COD,271
B-25883,10,-2,2,Clothing,Leggings,COD,5
B-26099,9,3,1,Clothing,Skirt,COD,9
B-25629,1560,421,3,Clothing,Trousers,COD,520
B-25767,9,-9,2,Clothing,Kurti,COD,5
B-25748,8,-1,2,Clothing,Leggings,COD,4
B-25740,7,0,2,Clothing,Skirt,COD,4
B-25681,1096,658,7,Electronics,Electronic Games,COD,157
B-25779,1361,980,3,Furniture,Tables,COD,454
B-26061,965,-68,3,Electronics,Printers,COD,322
B-25666,934,-916,7,Electronics,Electronic Games,COD,133
B-25850,916,192,11,Electronics,Phones,COD,83
B-25852,869,67,4,Furniture,Tables,COD,217
B-25651,823,-18,7,Furniture,Chairs,COD,118
B-26052,774,170,3,Electronics,Accessories,COD,258
B-26033,774,170,3,Electronics,Accessories,COD,258
B-25945,765,-36,3,Electronics,Electronic Games,COD,255
B-26086,762,101,6,Electronics,Printers,COD,127
B-25752,761,266,9,Electronics,Electronic Games,COD,85
B-25986,749,-307,7,Furniture,Furnishings,COD,107
B-25953,744,119,6,Electronics,Printers,COD,124
B-25878,741,267,5,Furniture,Bookcases,COD,148
B-25752,735,-235,6,Electronics,Printers,COD,123
B-25878,719,303,6,Furniture,Chairs,COD,120
B-25708,709,-100,5,Electronics,Phones,COD,142
B-25959,681,259,4,Furniture,Chairs,COD,170
B-26097,671,-309,5,Electronics,Electronic Games,COD,134
B-25888,646,-213,3,Electronics,Electronic Games,COD,215
B-25993,610,208,3,Electronics,Printers,COD,203
B-25930,595,119,4,Furniture,Bookcases,COD,149
B-26053,594,89,3,Furniture,Bookcases,COD,198
B-26070,582,262,5,Furniture,Furnishings,COD,116
B-25682,545,-73,11,Electronics,Phones,COD,50
B-25962,544,-152,3,Furniture,Bookcases,COD,181
B-25698,516,392,8,Furniture,Chairs,COD,65
B-25832,504,116,3,Furniture,Bookcases,COD,168
B-25886,502,84,4,Electronics,Phones,COD,126
B-25609,485,29,4,Electronics,Electronic Games,COD,121
B-25608,476,0,3,Furniture,Chairs,COD,159
B-25730,473,42,4,Furniture,Chairs,COD,118
B-25689,469,-459,3,Electronics,Electronic Games,COD,156
B-26081,169,0,3,Electronics,Accessories,COD,56
B-25903,455,77,8,Electronics,Accessories,COD,57
B-25654,450,-90,3,Electronics,Printers,COD,150
B-25720,30,-35,1,Furniture,Chairs,COD,30
B-25961,446,53,3,Electronics,Printers,COD,149
B-25653,427,-50,7,Electronics,Phones,COD,61
B-25602,424,-272,5,Electronics,Phones,COD,85
B-25761,418,70,7,Electronics,Phones,COD,60
B-25819,417,49,3,Electronics,Electronic Games,COD,139
B-25993,414,199,3,Electronics,Phones,COD,138
B-25797,413,-314,9,Furniture,Chairs,COD,46
B-25961,366,84,3,Furniture,Bookcases,COD,122
B-25970,365,107,3,Electronics,Phones,COD,122
B-26081,359,-338,5,Furniture,Bookcases,COD,72
B-25650,351,-47,8,Electronics,Phones,COD,44
B-25964,346,108,3,Furniture,Chairs,COD,115
B-25676,342,-103,4,Electronics,Electronic Games,COD,86
B-25851,336,71,3,Furniture,Bookcases,COD,112
B-25621,333,-15,3,Electronics,Phones,COD,111
B-25655,312,-312,7,Furniture,Chairs,COD,45
B-25962,312,62,1,Electronics,Electronic Games,COD,312
B-25678,327,-39,1,Electronics,Phones,COD,327
B-25915,277,3,1,Electronics,Electronic Games,COD,277
B-25845,274,-7,4,Electronics,Phones,COD,69
B-25645,273,-87,4,Electronics,Phones,COD,68
B-25803,269,91,1,Electronics,Electronic Games,COD,269
B-25981,867,251,5,Electronics,Phones,COD,173
B-25918,244,-122,5,Furniture,Furnishings,COD,49
B-26063,241,-77,4,Electronics,Electronic Games,COD,60
B-25796,239,-162,5,Furniture,Chairs,COD,48
B-25621,233,-10,5,Electronics,Electronic Games,COD,47
B-25773,224,-143,3,Furniture,Chairs,COD,75
B-25861,216,-83,3,Electronics,Electronic Games,COD,72
B-26084,209,-63,4,Electronics,Electronic Games,COD,52
B-25998,50,-28,5,Furniture,Furnishings,COD,10
B-25756,204,276,3,Furniture,Bookcases,COD,68
B-25994,196,-7,5,Electronics,Phones,COD,39
B-25653,195,-117,5,Electronics,Phones,COD,39
B-26097,185,-26,6,Furniture,Chairs,COD,31
B-26041,176,-28,5,Furniture,Furnishings,COD,35
B-26010,176,-13,5,Furniture,Furnishings,COD,35
B-25794,176,37,6,Electronics,Accessories,COD,29
B-25652,174,-70,3,Electronics,Accessories,COD,58
B-25952,173,69,3,Furniture,Chairs,COD,58
B-25967,119,-24,4,Furniture,Furnishings,COD,30
